Relative Position,Position X,Position Y,laptopap,rp1ap,rp2ap
Relative Position,Position X,Position Y,2437,2437,2437
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3
1,1,1,-36.4,-40.0,-70.6
2,1,2,-39.8,-41.4,-69.0
3,1,3,-36.0,-40.0,-71.2
4,1,4,-36.8,-44.0,-68.0
5,1,5,-38.4,-43.4,-67.2
6,1,6,-55.4,-38.2,-67.8
7,1,7,-37.8,-35.6,-66.0
8,1,8,-36.6,-36.8,-69.2
9,1,9,-54.75,-32.5,-68.25
10,2,9,-39.166666666666664,-33.5,-66.66666666666667
11,2,8,-36.0,-36.0,-68.4
12,2,7,-54.5,-43.25,-68.75
13,2,6,-59.0,-32.0,-69.8
14,2,5,-41.4,-35.2,-68.0
15,2,4,-40.6,-36.6,-69.8
16,2,3,-39.166666666666664,-35.666666666666664,-65.83333333333333
17,2,2,-42.2,-31.2,-66.8
18,2,1,-43.6,-37.8,-69.0
19,3,1,-40.6,-48.8,-67.2
20,3,2,-43.8,-43.0,-72.8
21,3,3,-42.8,-34.4,-75.4
22,3,4,-47.6,-54.8,-74.0
23,3,5,-50.4,-33.6,-75.8
24,3,6,-42.4,-38.4,-74.4
25,3,7,-41.2,-31.0,-71.6
26,3,8,-51.6,-50.8,-73.8
27,3,9,-56.0,-53.8,-77.0
28,3,10,-45.2,-34.8,-76.8
29,3,11,-46.8,-53.6,-72.2
30,4,9,-49.6,-39.6,-74.4
31,4,8,-50.8,-38.2,-72.8
32,4,7,-60.0,-36.2,-70.4
33,4,6,-41.5,-35.0,-71.25
34,4,5,-54.4,-33.0,-72.0
35,4,4,-44.6,-34.8,-70.6
36,4,3,-44.6,-31.4,-69.0
37,4,2,-46.2,-44.8,-70.0
38,4,1,-44.8,-40.0,-66.4
39,5,1,-45.0,-39.4,-66.6
40,5,2,-58.4,-36.4,-65.0
41,5,3,-61.4,-45.4,-59.4
42,5,4,-55.0,-38.8,-58.8
43,5,5,-50.5,-38.0,-62.25
44,5,6,-51.8,-40.2,-63.8
45,5,7,-52.8,-39.6,-62.6
46,5,8,-54.2,-42.2,-59.8
47,5,9,-49.2,-43.6,-63.6
